Time,avg(solution_0),avg(solution_1)
0,0.240474,0
1,0.187183,-0.000117232
2,0.16195,0.00338113
3,0.166308,0.00901301
4,0.208604,0.0154426
5,0.302729,0.0215304
6,0.460706,0.0262846
7,0.683388,0.0288594
8,0.956666,0.0285785
9,1.25594,0.0249536
10,1.55492,0.0176755
11,1.83306,0.00658459
12,2.07872,-0.00836537
13,2.28847,-0.027134
14,2.46464,-0.049608
15,2.61252,-0.0756049
16,2.73832,-0.104872
17,2.84787,-0.137083
18,2.94609,-0.171843
19,3.03681,-0.208695
20,3.12287,-0.247128
21,3.20629,-0.286593
22,3.28844,-0.326523
23,3.37024,-0.366347
24,3.45225,-0.405509
25,3.53478,-0.443483
26,3.618,-0.479787
27,3.70195,-0.513996
28,3.7866,-0.545744
29,3.87187,-0.574731
30,3.95767,-0.600723
31,4.04388,-0.623548
32,4.13042,-0.643096
33,4.21716,-0.659308
34,4.30404,-0.672171
35,4.39098,-0.681711
36,4.47793,-0.687984
37,4.56487,-0.691066
38,4.65177,-0.691052
39,4.73864,-0.688044
40,4.8255,-0.682147
41,4.91237,-0.673468
42,4.9993,-0.662108
43,5.08633,-0.648162
44,5.17351,-0.631717
45,5.26089,-0.612851
46,5.34852,-0.591632
47,5.43644,-0.568117
48,5.5247,-0.542355
49,5.61334,-0.514386
50,5.70238,-0.48424
51,5.79186,-0.451941
52,5.88178,-0.417505
53,5.97216,-0.380943
54,6.06301,-0.34226
55,6.15432,-0.301455
56,6.24609,-0.258526
57,6.33831,-0.213465
58,6.43097,-0.166261
59,6.52404,-0.116902
60,6.6175,-0.0653711
61,6.71134,-0.0116521
62,6.80552,0.0442746
63,6.90002,0.10243
64,6.99482,0.162836
65,7.08988,0.225517
66,7.18517,0.290497
67,7.28066,0.357802
68,7.37632,0.427458
69,7.47212,0.499494
70,7.56803,0.573937
71,7.66401,0.650818
72,7.76003,0.730165
73,7.85605,0.812011
74,7.95204,0.896385
75,8.04796,0.983321
76,8.14378,1.07285
77,8.23945,1.16501
78,8.33494,1.25982
79,8.43021,1.35734
80,8.52522,1.45758
81,8.61992,1.56059
82,8.71428,1.66639
83,8.80824,1.77504
84,8.90177,1.88656
85,8.99481,2.00098
86,9.08732,2.11836
87,9.17924,2.23872
88,9.27054,2.36211
89,9.36115,2.48855
90,9.45103,2.6181
91,9.54011,2.75078
92,9.62835,2.88665
93,9.71568,3.02573
94,9.80206,3.16807
95,9.88741,3.31371
96,9.97167,3.46268
97,10.0548,3.61503
98,10.1367,3.7708
99,10.2173,3.93003
100,10.2966,4.09275
101,10.3745,4.25902
102,10.4509,4.42887
103,10.5257,4.60234
104,10.5989,4.77947
105,10.6704,4.9603
106,10.7401,5.14488
107,10.808,5.33324
108,10.8739,5.52543
109,10.9378,5.72149
110,10.9996,5.92145
111,11.0592,6.12536
112,11.1165,6.33326
113,11.1715,6.54519
114,11.2239,6.76119
115,11.2739,6.9813
116,11.3212,7.20555
117,11.3657,7.434
118,11.4074,7.66667
119,11.4462,7.90361
120,11.4819,8.14485
121,11.5145,8.39044
122,11.5438,8.6404
123,11.5697,8.89479
124,11.5922,9.15363
125,11.6111,9.41697
126,11.6263,9.68483
127,11.6377,9.95726
128,11.6452,10.2343
129,11.6486,10.5159
130,11.6478,10.8023
131,11.6427,11.0933
132,11.6332,11.3891
133,11.6191,11.6896
134,11.6003,11.9949
135,11.5768,12.305
136,11.5482,12.62
137,11.5146,12.9399
138,11.4757,13.2647
139,11.4314,13.5945
140,11.3817,13.9292
141,11.3262,14.2688
142,11.2649,14.6135
143,11.1977,14.9633
144,11.1243,15.3181
145,11.0447,15.6779
146,10.9586,16.0429
147,10.8659,16.413
148,10.7664,16.7882
149,10.66,17.1685
150,10.5464,17.5541
151,10.4257,17.9447
152,10.2974,18.3406
153,10.1615,18.7417
154,10.0179,19.1479
155,9.86622,19.5594
156,9.70639,19.976
157,9.53821,20.3979
158,9.36149,20.825
159,9.17603,21.2573
160,8.98164,21.6948
161,8.77812,22.1375
162,8.56528,22.5854
163,8.34291,23.0385
164,8.11082,23.4968
165,7.86878,23.9602
166,7.61661,24.4288
167,7.35407,24.9025
168,7.08097,25.3813
169,6.79707,25.8652
170,6.50217,26.3541
171,6.19604,26.8481
172,5.87846,27.347
173,5.54919,27.851
174,5.20802,28.3598
175,4.85471,28.8736
176,4.48902,29.3922
177,4.11071,29.9155
178,3.71956,30.4437
179,3.31531,30.9765
180,2.89772,31.514
181,2.46655,32.0561
182,2.02155,32.6027
183,1.56246,33.1537
184,1.08903,33.7091
185,0.601006,34.2689
186,0.0981284,34.8329
187,-0.419864,35.401
188,-0.953234,35.9733
189,-1.50225,36.5495
190,-2.06717,37.1296
191,-2.64827,37.7135
192,-3.24583,38.3011
193,-3.86011,38.8923
194,-4.4914,39.487
195,-5.13996,40.085
196,-5.80609,40.6863
197,-6.49005,41.2908
198,-7.19215,41.8982
199,-7.91266,42.5085
200,-8.65186,43.1215
201,-9.41006,43.7371
202,-10.1875,44.3552
203,-10.9846,44.9755
204,-11.8015,45.5979
205,-12.6386,46.2223
206,-13.4961,46.8485
207,-14.3745,47.4763
208,-15.2738,48.1056
209,-16.1945,48.736
210,-17.1369,49.3675
211,-18.1013,49.9999
212,-19.0879,50.6329
213,-20.0972,51.2663
214,-21.1293,51.8999
215,-22.1846,52.5335
216,-23.2633,53.1669
217,-24.366,53.7997
218,-25.4927,54.4318
219,-26.6438,55.063
220,-27.8197,55.6928
221,-29.0207,56.3211
222,-30.247,56.9476
223,-31.499,57.5721
224,-32.7769,58.1941
225,-34.0812,58.8135
226,-35.412,59.4299
227,-36.7698,60.043
228,-38.1548,60.6524
229,-39.5673,61.2579
230,-41.0076,61.8591
231,-42.4761,62.4556
232,-43.973,63.0472
233,-45.4987,63.6333
234,-47.0535,64.2137
235,-48.6375,64.788
236,-50.2513,65.3557
237,-51.8949,65.9165
238,-53.5689,66.4699
239,-55.2733,67.0156
240,-57.0086,67.5531
241,-58.775,68.0819
242,-60.5728,68.6016
243,-62.4023,69.1117
244,-64.2637,69.6118
245,-66.1574,70.1013
246,-68.0835,70.5799
247,-70.0425,71.0469
248,-72.0345,71.5019
249,-74.0597,71.9443
250,-76.1186,72.3735
251,-78.2112,72.7891
252,-80.3379,73.1905
253,-82.4988,73.5771
254,-84.6943,73.9483
255,-86.9246,74.3035
256,-89.1898,74.6422
257,-91.4902,74.9636
258,-93.826,75.2671
259,-96.1975,75.5522
260,-98.6047,75.8181
261,-101.048,76.0642
262,-103.527,76.2898
263,-106.043,76.4941
264,-108.595,76.6766
265,-111.184,76.8364
266,-113.81,76.9728
267,-116.473,77.0851
268,-119.173,77.1725
269,-121.91,77.2342
270,-124.685,77.2695
271,-127.496,77.2775
272,-130.346,77.2573
273,-133.233,77.2083
274,-136.158,77.1295
275,-139.12,77.02
276,-142.12,76.879
277,-145.158,76.7056
278,-148.234,76.4989
279,-151.348,76.2579
280,-154.5,75.9818
281,-157.689,75.6695
282,-160.916,75.3201
283,-164.181,74.9326
284,-167.484,74.506
285,-170.824,74.0393
286,-174.201,73.5315
287,-177.616,72.9815
288,-181.068,72.3883
289,-184.558,71.7507
290,-188.084,71.0677
291,-191.647,70.3381
292,-195.246,69.561
293,-198.882,68.735
294,-202.553,67.859
295,-206.261,66.9319
296,-210.004,65.9525
297,-213.782,64.9195
298,-217.595,63.8318
299,-221.442,62.688
300,-225.324,61.487
301,-229.239,60.2274
302,-233.188,58.908
303,-237.169,57.5274
304,-241.183,56.0844
305,-245.228,54.5775
306,-249.305,53.0055
307,-253.413,51.3669
308,-257.551,49.6603
309,-261.718,47.8844
310,-265.915,46.0377
311,-270.139,44.1187
312,-274.392,42.1261
313,-278.671,40.0583
314,-282.976,37.9138
315,-287.306,35.6911
316,-291.661,33.3887
317,-296.039,31.005
318,-300.44,28.5386
319,-304.863,25.9877
320,-309.306,23.3508
321,-313.77,20.6264
322,-318.252,17.8127
323,-322.751,14.9081
324,-327.267,11.911
325,-331.799,8.81974
326,-336.344,5.63254
327,-340.903,2.34775
328,-345.473,-1.03637
329,-350.053,-4.52154
