Time,avg(solution_0),avg(solution_1)
0,0.311261,0
1,0.14598,-0.0044834
2,-0.00178782,-0.00892655
3,-0.143426,-0.012928
4,-0.302887,-0.0165588
5,-0.515501,-0.0199152
6,-0.811998,-0.0231062
7,-1.19479,-0.0262576
8,-1.62731,-0.0295265
9,-2.04749,-0.0331111
10,-2.39488,-0.0372401
11,-2.63198,-0.0421444
12,-2.75025,-0.0480246
13,-2.76349,-0.0550285
14,-2.6967,-0.0632404
15,-2.57656,-0.0726824
16,-2.42587,-0.0833198
17,-2.26154,-0.0950702
18,-2.09487,-0.107812
19,-1.93266,-0.121392
20,-1.77859,-0.135636
21,-1.6343,-0.150353
22,-1.50025,-0.165348
23,-1.37622,-0.180423
24,-1.26163,-0.195389
25,-1.15576,-0.210069
26,-1.05786,-0.224305
27,-0.967178,-0.237959
28,-0.883017,-0.250916
29,-0.804746,-0.263089
30,-0.731802,-0.274412
31,-0.663696,-0.284846
32,-0.60001,-0.294371
33,-0.540391,-0.30299
34,-0.484548,-0.310721
35,-0.432246,-0.317596
36,-0.383293,-0.323657
37,-0.337538,-0.328957
38,-0.294859,-0.333552
39,-0.255155,-0.337501
40,-0.218339,-0.340863
41,-0.184332,-0.343698
42,-0.153058,-0.346063
43,-0.124434,-0.348011
44,-0.0983742,-0.349592
45,-0.0747813,-0.350853
46,-0.0535486,-0.351832
47,-0.0345589,-0.352569
48,-0.0176851,-0.353094
49,-0.00279185,-0.353436
50,0.0102629,-0.35362
51,0.0216254,-0.353667
52,0.031444,-0.353595
53,0.0398664,-0.35342
54,0.0470377,-0.353156
55,0.0530983,-0.352812
56,0.0581819,-0.3524
57,0.0624145,-0.351926
58,0.065913,-0.351399
59,0.0687844,-0.350824
60,0.0711259,-0.350206
61,0.0730242,-0.34955
62,0.0745562,-0.348859
63,0.0757891,-0.348137
64,0.0767807,-0.347387
65,0.0775807,-0.346612
66,0.0782308,-0.345813
67,0.078766,-0.344994
68,0.0792147,-0.344155
69,0.0796004,-0.343299
70,0.0799417,-0.342428
71,0.080253,-0.341542
72,0.0805457,-0.340643
73,0.0808283,-0.339733
74,0.081107,-0.338813
75,0.081386,-0.337883
76,0.0816682,-0.336945
77,0.0819553,-0.336
78,0.0822482,-0.335048
79,0.0825468,-0.334091
80,0.082851,-0.333128
81,0.0831599,-0.332162
82,0.0834726,-0.331192
83,0.0837881,-0.33022
84,0.0841051,-0.329245
85,0.0844227,-0.328268
86,0.0847395,-0.32729
87,0.0850546,-0.326312
88,0.0853668,-0.325333
89,0.0856754,-0.324354
90,0.0859794,-0.323376
91,0.086278,-0.322399
92,0.0865707,-0.321423
93,0.0868567,-0.320449
94,0.0871357,-0.319476
95,0.0874072,-0.318506
96,0.0876708,-0.317538
97,0.0879264,-0.316573
98,0.0881736,-0.31561
99,0.0884123,-0.314651
100,0.0886423,-0.313695
101,0.0888638,-0.312742
102,0.0890765,-0.311793
103,0.0892805,-0.310848
104,0.0894759,-0.309906
105,0.0896627,-0.308969
106,0.0898409,-0.308036
107,0.0900109,-0.307107
108,0.0901725,-0.306183
109,0.090326,-0.305263
110,0.0904715,-0.304347
111,0.0906093,-0.303436
112,0.0907394,-0.30253
113,0.090862,-0.301629
114,0.0909773,-0.300732
115,0.0910855,-0.299841
116,0.0911868,-0.298954
117,0.0912814,-0.298073
118,0.0913693,-0.297196
119,0.091451,-0.296324
120,0.0915264,-0.295458
121,0.0915958,-0.294596
122,0.0916594,-0.29374
123,0.0917173,-0.292889
124,0.0917697,-0.292043
125,0.0918169,-0.291202
126,0.0918588,-0.290367
127,0.0918958,-0.289536
128,0.0919279,-0.288711
129,0.0919554,-0.287891
130,0.0919783,-0.287076
131,0.0919969,-0.286266
132,0.0920112,-0.285461
133,0.0920214,-0.284662
134,0.0920277,-0.283867
135,0.0920301,-0.283078
136,0.0920288,-0.282294
137,0.0920239,-0.281515
138,0.0920156,-0.280741
139,0.0920038,-0.279972
140,0.0919889,-0.279208
141,0.0919708,-0.278449
142,0.0919497,-0.277695
143,0.0919256,-0.276946
144,0.0918987,-0.276202
145,0.0918691,-0.275463
146,0.0918369,-0.274729
147,0.091802,-0.273999
148,0.0917648,-0.273275
149,0.0917251,-0.272555
150,0.0916831,-0.27184
151,0.0916389,-0.27113
152,0.0915926,-0.270424
153,0.0915441,-0.269723
154,0.0914937,-0.269027
155,0.0914413,-0.268335
156,0.091387,-0.267648
157,0.091331,-0.266966
158,0.0912731,-0.266288
159,0.0912136,-0.265615
160,0.0911525,-0.264946
161,0.0910898,-0.264281
162,0.0910256,-0.263621
163,0.0909599,-0.262965
164,0.0908927,-0.262314
165,0.0908243,-0.261667
166,0.0907544,-0.261024
167,0.0906834,-0.260385
168,0.0906111,-0.259751
169,0.0905376,-0.25912
170,0.0904629,-0.258494
171,0.0903872,-0.257872
172,0.0903104,-0.257254
173,0.0902325,-0.256641
174,0.0901537,-0.256031
175,0.0900739,-0.255425
176,0.0899932,-0.254823
177,0.0899116,-0.254225
178,0.0898292,-0.253631
179,0.0897459,-0.25304
180,0.0896619,-0.252454
181,0.0895771,-0.251871
182,0.0894915,-0.251292
183,0.0894053,-0.250717
184,0.0893183,-0.250146
185,0.0892307,-0.249578
186,0.0891425,-0.249014
187,0.0890537,-0.248453
188,0.0889642,-0.247896
189,0.0888743,-0.247343
190,0.0887838,-0.246793
191,0.0886927,-0.246246
192,0.0886012,-0.245703
193,0.0885092,-0.245164
194,0.0884168,-0.244627
195,0.0883239,-0.244095
196,0.0882306,-0.243565
197,0.0881369,-0.243039
198,0.0880428,-0.242516
199,0.0879484,-0.241997
200,0.0878536,-0.24148
201,0.0877584,-0.240967
202,0.087663,-0.240457
203,0.0875672,-0.23995
204,0.0874712,-0.239447
205,0.0873749,-0.238946
206,0.0872783,-0.238448
207,0.0871814,-0.237954
208,0.0870844,-0.237462
209,0.0869871,-0.236974
210,0.0868896,-0.236489
211,0.0867918,-0.236006
212,0.0866939,-0.235526
213,0.0865958,-0.23505
214,0.0864976,-0.234576
215,0.0863992,-0.234105
216,0.0863006,-0.233636
217,0.0862019,-0.233171
218,0.0861031,-0.232708
219,0.0860041,-0.232249
220,0.085905,-0.231791
221,0.0858058,-0.231337
222,0.0857066,-0.230885
223,0.0856072,-0.230436
224,0.0855077,-0.22999
225,0.0854082,-0.229546
226,0.0853086,-0.229105
227,0.0852089,-0.228666
228,0.0851092,-0.22823
229,0.0850094,-0.227796
230,0.0849096,-0.227365
231,0.0848098,-0.226936
232,0.0847099,-0.22651
233,0.08461,-0.226087
234,0.0845101,-0.225665
235,0.0844101,-0.225247
236,0.0843102,-0.22483
237,0.0842102,-0.224416
238,0.0841103,-0.224004
239,0.0840103,-0.223595
240,0.0839104,-0.223188
241,0.0838104,-0.222783
242,0.0837105,-0.22238
243,0.0836106,-0.22198
244,0.0835107,-0.221582
245,0.0834109,-0.221186
246,0.0833111,-0.220793
247,0.0832113,-0.220401
248,0.0831116,-0.220012
249,0.0830119,-0.219625
250,0.0829122,-0.21924
251,0.0828126,-0.218857
252,0.082713,-0.218476
253,0.0826135,-0.218097
254,0.082514,-0.217721
255,0.0824146,-0.217346
256,0.0823153,-0.216974
257,0.082216,-0.216603
258,0.0821168,-0.216234
259,0.0820176,-0.215868
260,0.0819185,-0.215503
261,0.0818195,-0.215141
262,0.0817205,-0.21478
263,0.0816216,-0.214421
264,0.0815228,-0.214064
265,0.0814241,-0.213709
266,0.0813254,-0.213356
267,0.0812269,-0.213005
268,0.0811284,-0.212655
269,0.0810299,-0.212308
270,0.0809316,-0.211962
271,0.0808333,-0.211618
272,0.0807352,-0.211275
273,0.0806371,-0.210935
274,0.0805391,-0.210596
275,0.0804411,-0.210259
276,0.0803433,-0.209924
277,0.0802456,-0.209591
278,0.0801479,-0.209259
279,0.0800503,-0.208929
280,0.0799528,-0.2086
281,0.0798554,-0.208274
282,0.0797581,-0.207949
283,0.0796609,-0.207625
284,0.0795638,-0.207303
285,0.0794668,-0.206983
286,0.0793698,-0.206665
287,0.079273,-0.206348
288,0.0791762,-0.206032
289,0.0790795,-0.205718
290,0.0789829,-0.205406
291,0.0788864,-0.205095
292,0.07879,-0.204786
293,0.0786937,-0.204478
294,0.0785975,-0.204172
295,0.0785014,-0.203867
296,0.0784053,-0.203564
297,0.0783094,-0.203262
298,0.0782135,-0.202962
299,0.0781177,-0.202663
300,0.078022,-0.202366
301,0.0779264,-0.20207
302,0.0778309,-0.201776
303,0.0777355,-0.201482
304,0.0776401,-0.201191
305,0.0775449,-0.2009
306,0.0774497,-0.200612
307,0.0773546,-0.200324
308,0.0772596,-0.200038
309,0.0771647,-0.199753
310,0.0770698,-0.199469
311,0.0769751,-0.199187
312,0.0768804,-0.198906
313,0.0767858,-0.198627
314,0.0766913,-0.198349
315,0.0765969,-0.198072
316,0.0765025,-0.197796
317,0.0764082,-0.197522
318,0.076314,-0.197249
319,0.0762199,-0.196977
320,0.0761258,-0.196706
321,0.0760318,-0.196437
322,0.0759379,-0.196169
323,0.0758441,-0.195902
324,0.0757503,-0.195636
325,0.0756566,-0.195371
326,0.0755629,-0.195108
327,0.0754694,-0.194846
328,0.0753758,-0.194585
329,0.0752824,-0.194325
330,0.075189,-0.194067
331,0.0750957,-0.193809
332,0.0750024,-0.193553
333,0.0749092,-0.193298
334,0.0748161,-0.193044
335,0.074723,-0.192791
336,0.07463,-0.192539
337,0.074537,-0.192288
338,0.0744441,-0.192039
339,0.0743512,-0.19179
340,0.0742584,-0.191543
341,0.0741656,-0.191296
342,0.0740729,-0.191051
343,0.0739802,-0.190807
344,0.0738875,-0.190563
345,0.0737949,-0.190321
346,0.0737024,-0.19008
347,0.0736099,-0.18984
348,0.0735174,-0.189601
349,0.073425,-0.189363
350,0.0733325,-0.189126
351,0.0732402,-0.18889
352,0.0731478,-0.188655
353,0.0730555,-0.188421
354,0.0729632,-0.188188
355,0.072871,-0.187956
356,0.0727788,-0.187725
357,0.0726865,-0.187494
358,0.0725944,-0.187265
359,0.0725022,-0.187037
360,0.0724101,-0.18681
361,0.0723179,-0.186583
362,0.0722258,-0.186358
363,0.0721337,-0.186133
364,0.0720416,-0.18591
365,0.0719495,-0.185687
366,0.0718575,-0.185465
367,0.0717654,-0.185244
368,0.0716733,-0.185024
369,0.0715813,-0.184805
370,0.0714892,-0.184587
371,0.0713971,-0.18437
372,0.0713051,-0.184153
373,0.071213,-0.183938
374,0.0711209,-0.183723
375,0.0710288,-0.183509
376,0.0709367,-0.183296
377,0.0708446,-0.183084
378,0.0707525,-0.182872
379,0.0706604,-0.182662
380,0.0705682,-0.182452
381,0.070476,-0.182243
382,0.0703838,-0.182035
383,0.0702915,-0.181828
384,0.0701993,-0.181621
385,0.070107,-0.181415
386,0.0700146,-0.181211
387,0.0699223,-0.181006
388,0.0698299,-0.180803
389,0.0697374,-0.180601
390,0.069645,-0.180399
391,0.0695524,-0.180198
392,0.0694599,-0.179997
393,0.0693672,-0.179798
394,0.0692746,-0.179599
395,0.0691818,-0.179401
396,0.0690891,-0.179204
397,0.0689962,-0.179007
398,0.0689033,-0.178812
399,0.0688104,-0.178616
400,0.0687173,-0.178422
401,0.0686242,-0.178228
402,0.0685311,-0.178036
403,0.0684378,-0.177843
404,0.0683445,-0.177652
405,0.0682511,-0.177461
406,0.0681576,-0.177271
407,0.0680641,-0.177081
408,0.0679704,-0.176893
409,0.0678767,-0.176705
410,0.0677829,-0.176517
411,0.0676889,-0.17633
412,0.0675949,-0.176144
413,0.0675008,-0.175959
414,0.0674066,-0.175774
415,0.0673123,-0.17559
416,0.0672178,-0.175407
417,0.0671233,-0.175224
418,0.0670286,-0.175042
419,0.0669338,-0.17486
420,0.0668389,-0.174679
421,0.0667439,-0.174499
422,0.0666487,-0.174319
423,0.0665535,-0.17414
424,0.066458,-0.173962
425,0.0663625,-0.173784
426,0.0662668,-0.173607
427,0.0661709,-0.17343
428,0.066075,-0.173254
