Time,avg(solution_0),avg(solution_1)
0,2.87535e-38,0
1,-4.11732e-14,0
2,-9.31866e-14,0
3,-1.72569e-13,0
4,-3.09549e-13,0
5,-4.31066e-13,0
6,-5.10946e-13,0
7,-5.30808e-13,0
8,-4.2299e-13,0
9,-2.70106e-13,0
10,-8.44509e-14,0
11,3.88722e-14,0
12,5.6896e-14,0
13,-3.62973e-14,0
14,-1.71686e-13,0
15,-2.90138e-13,0
16,-3.70603e-13,0
17,-3.78846e-13,0
18,-3.71875e-13,0
19,-3.44857e-13,0
20,-4.0627e-13,0
21,-5.00217e-13,0
22,-5.00217e-13,0
23,-5.00217e-13,0
24,-5.00217e-13,0
25,-5.00217e-13,0
26,-5.00217e-13,0
27,-5.00217e-13,0
28,-5.00217e-13,0
29,-5.00217e-13,0
30,-5.00217e-13,0
31,-5.00217e-13,0
32,-5.00217e-13,0
33,-5.00217e-13,0
34,-5.00217e-13,0
35,-5.00217e-13,0
36,-5.00217e-13,0
37,-5.00217e-13,0
38,-5.00217e-13,0
39,-5.00217e-13,0
40,-5.00217e-13,0
41,-5.00217e-13,0
42,-5.00217e-13,0
43,-5.00217e-13,0
44,-5.00217e-13,0
45,-5.00217e-13,0
46,-5.00217e-13,0
47,-5.00217e-13,0
48,-5.00217e-13,0
49,-5.00217e-13,0
50,-5.00217e-13,0
51,-5.00217e-13,0
52,-5.00217e-13,0
53,-5.00217e-13,0
54,-5.00217e-13,0
55,-5.00217e-13,0
56,-5.00217e-13,0
57,-5.00217e-13,0
58,-5.00217e-13,0
59,-5.00217e-13,0
60,-5.00217e-13,0
61,-5.00217e-13,0
62,-5.00217e-13,0
63,-5.00217e-13,0
64,-5.00217e-13,0
65,-5.00217e-13,0
66,-5.00217e-13,0
67,-5.00217e-13,0
68,-5.00217e-13,0
69,-5.00217e-13,0
70,-5.00217e-13,0
71,-5.00217e-13,0
72,-5.00217e-13,0
73,-5.00217e-13,0
74,-5.00217e-13,0
75,-5.00217e-13,0
76,-5.00217e-13,0
77,-5.00217e-13,0
78,-5.00217e-13,0
79,-5.00217e-13,0
80,-5.00217e-13,0
81,-5.00217e-13,0
82,-5.00217e-13,0
83,-5.00217e-13,0
84,-5.00217e-13,0
85,-5.00217e-13,0
86,-5.00217e-13,0
87,-5.00217e-13,0
